activity_id,week,location_id,co_share_group
A028,9,PLAT:ALP:H01:EB,b1
A028,10,PLAT:ALP:H01:EB,b1
A004,16,PLAT:ALP:H01:EB,b1
A004,17,PLAT:ALP:H01:EB,b1
A054,17,PLAT:ALP:H01:EB,b1
A004,18,PLAT:ALP:H01:EB,b1
A054,18,PLAT:ALP:H01:EB,b1
A074,21,PLAT:ALP:H01:EB,b1
A072,23,PLAT:ALP:H01:EB,b1
A058,2,PLAT:ALP:H01:WB,b1
A006,3,PLAT:ALP:H01:WB,b1
A058,3,PLAT:ALP:H01:WB,b1
A006,4,PLAT:ALP:H01:WB,b1
A058,4,PLAT:ALP:H01:WB,b1
A058,5,PLAT:ALP:H01:WB,b1
A058,6,PLAT:ALP:H01:WB,b1
A058,7,PLAT:ALP:H01:WB,b1
A058,8,PLAT:ALP:H01:WB,b1
A069,11,PLAT:ALP:H01:WB,b1
A070,11,PLAT:ALP:H01:WB,b1
A069,12,PLAT:ALP:H01:WB,b1
A070,12,PLAT:ALP:H01:WB,b1
A020,13,PLAT:ALP:H01:WB,b1
A020,14,PLAT:ALP:H01:WB,b1
A070,16,PLAT:ALP:H01:WB,b1
A050,17,PLAT:ALP:H01:WB,b1
A070,17,PLAT:ALP:H01:WB,b1
A050,18,PLAT:ALP:H01:WB,b1
A070,18,PLAT:ALP:H01:WB,b1
A066,27,PLAT:ALP:H01:WB,b1
A047,13,PLAT:ALP:H02:EB,b1
A047,14,PLAT:ALP:H02:EB,b1
A054,17,PLAT:ALP:H02:EB,b1
A054,18,PLAT:ALP:H02:EB,b1
A074,21,PLAT:ALP:H02:EB,b1
A072,23,PLAT:ALP:H02:EB,b1
A058,2,PLAT:ALP:H02:WB,b1
A006,3,PLAT:ALP:H02:WB,b1
A058,3,PLAT:ALP:H02:WB,b1
A006,4,PLAT:ALP:H02:WB,b1
A058,4,PLAT:ALP:H02:WB,b1
A058,5,PLAT:ALP:H02:WB,b1
A058,6,PLAT:ALP:H02:WB,b1
A058,7,PLAT:ALP:H02:WB,b1
A058,8,PLAT:ALP:H02:WB,b1
A069,11,PLAT:ALP:H02:WB,b1
A069,12,PLAT:ALP:H02:WB,b1
